date,sku_id,category,price,promotion,holiday,demand,day_of_week,month,quarter,day_of_year,week_of_year,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_30
2024-01-31,SKU_1,Sports,32.44,1,0,94,2,1,1,31,5,54.0,72.0,52.0,91.0,63.57142857142857,61.733333333333334
2024-02-01,SKU_1,Sports,16.93,0,0,64,3,2,1,32,5,94.0,64.0,55.0,43.0,66.71428571428571,61.833333333333336
2024-02-02,SKU_1,Sports,24.51,0,0,69,4,2,1,33,5,64.0,63.0,55.0,47.0,66.71428571428571,62.53333333333333
2024-02-03,SKU_1,Sports,26.79,0,0,75,5,2,1,34,5,69.0,61.0,50.0,66.0,67.57142857142857,63.266666666666666
2024-02-04,SKU_1,Sports,58.54,0,0,61,6,2,1,35,5,75.0,73.0,78.0,45.0,69.57142857142857,63.56666666666667
2024-02-05,SKU_1,Sports,48.44,0,0,56,0,2,1,36,6,61.0,58.0,71.0,72.0,67.85714285714286,64.1
2024-02-06,SKU_1,Sports,87.47,0,0,46,1,2,1,37,6,56.0,54.0,67.0,76.0,67.57142857142857,63.56666666666667
2024-02-07,SKU_1,Sports,29.99,0,0,62,2,2,1,38,6,46.0,94.0,72.0,53.0,66.42857142857143,62.56666666666667
2024-02-08,SKU_1,Sports,40.39,0,0,59,3,2,1,39,6,62.0,64.0,64.0,61.0,61.857142857142854,62.86666666666667
2024-02-09,SKU_1,Sports,73.27,0,0,52,4,2,1,40,6,59.0,69.0,63.0,44.0,61.142857142857146,62.8
2024-02-10,SKU_1,Sports,97.46,0,0,43,5,2,1,41,6,52.0,75.0,61.0,68.0,58.714285714285715,63.06666666666667
2024-02-11,SKU_1,Sports,13.32,0,0,78,6,2,1,42,6,43.0,61.0,73.0,55.0,54.142857142857146,62.233333333333334
2024-02-12,SKU_1,Sports,55.24,0,0,55,0,2,1,43,7,78.0,56.0,58.0,69.0,56.57142857142857,63.0
2024-02-13,SKU_1,Sports,54.05,0,0,57,1,2,1,44,7,55.0,46.0,54.0,58.0,56.42857142857143,62.53333333333333
2024-02-14,SKU_1,Sports,31.78,1,0,93,2,2,1,45,7,57.0,62.0,94.0,67.0,58.0,62.5
2024-02-15,SKU_1,Sports,75.54,0,0,53,3,2,1,46,7,93.0,59.0,64.0,64.0,62.42857142857143,63.36666666666667
2024-02-16,SKU_1,Sports,66.91,0,0,55,4,2,1,47,7,53.0,52.0,69.0,52.0,61.57142857142857,63.0
2024-02-17,SKU_1,Sports,85.18,0,0,68,5,2,1,48,7,55.0,43.0,75.0,55.0,62.0,63.1
2024-02-18,SKU_1,Sports,26.79,0,0,75,6,2,1,49,7,68.0,78.0,61.0,55.0,65.57142857142857,63.53333333333333
2024-02-19,SKU_1,Sports,11.49,0,0,66,0,2,1,50,8,75.0,55.0,56.0,50.0,65.14285714285714,64.2
